Timestamp,Packet_Size,Protocol,Flow_ID,Time_Gap,Service
1741098688.707741,93,TLS,192.168.160.128-142.250.75.177,0.0,Gmail
1741098688.707971,93,TLS,192.168.160.128-142.250.75.131,0.0002300739288330078,Gmail
1741098688.708247,60,TCP,142.250.75.177-192.168.160.128,0.0002758502960205078,Gmail
1741098688.708248,60,TCP,142.250.75.131-192.168.160.128,9.5367431640625e-07,Gmail
1741098688.781165,93,TLS,142.250.75.177-192.168.160.128,0.07291698455810547,Gmail
1741098688.781165,93,TLS,142.250.75.131-192.168.160.128,0.0,Gmail
1741098688.781274,54,TCP,192.168.160.128-142.250.75.177,0.00010919570922851562,Gmail
1741098688.781379,54,TCP,192.168.160.128-142.250.75.131,0.0001049041748046875,Gmail
1741098689.709651,93,TLS,192.168.160.128-142.250.75.138,0.928272008895874,Gmail
1741098689.709908,60,TCP,142.250.75.138-192.168.160.128,0.0002570152282714844,Gmail
1741098689.762191,93,TLS,142.250.75.138-192.168.160.128,0.05228304862976074,Gmail
1741098689.762233,54,TCP,192.168.160.128-142.250.75.138,4.1961669921875e-05,Gmail
1741098691.691949,94,DNS,192.168.160.128-192.168.160.2,1.929715871810913,Other
1741098691.692014,94,DNS,192.168.160.128-192.168.160.2,6.508827209472656e-05,Other
1741098691.693359,1399,QUIC,192.168.160.128-142.250.75.106,0.001344919204711914,Gmail
1741098691.699631,110,DNS,192.168.160.2-192.168.160.128,0.006272077560424805,Other
1741098691.699631,122,DNS,192.168.160.2-192.168.160.128,0.0,Other
1741098691.797135,74,TCP,192.168.160.128-142.250.75.106,0.0975041389465332,Gmail
1741098691.800032,1399,QUIC,142.250.75.106-192.168.160.128,0.0028967857360839844,Gmail
1741098691.801376,1399,QUIC,142.250.75.106-192.168.160.128,0.0013442039489746094,Gmail
1741098691.801376,657,QUIC,142.250.75.106-192.168.160.128,0.0,Gmail
1741098691.801376,69,QUIC,142.250.75.106-192.168.160.128,0.0,Gmail
1741098691.808236,1399,QUIC,192.168.160.128-142.250.75.106,0.006859779357910156,Gmail
1741098691.808333,1037,QUIC,192.168.160.128-142.250.75.106,9.703636169433594e-05,Gmail
1741098691.830732,1399,QUIC,192.168.160.128-142.250.75.138,0.022399187088012695,Gmail
1741098691.830945,93,DNS,192.168.160.128-192.168.160.2,0.0002129077911376953,Other
1741098691.830972,93,DNS,192.168.160.128-192.168.160.2,2.6941299438476562e-05,Other
1741098691.836597,109,DNS,192.168.160.2-192.168.160.128,0.005625009536743164,Other
1741098691.836598,121,DNS,192.168.160.2-192.168.160.128,9.5367431640625e-07,Other
1741098691.903963,60,TCP,142.250.75.106-192.168.160.128,0.06736516952514648,Gmail
1741098691.903964,165,QUIC,142.250.75.106-192.168.160.128,9.5367431640625e-07,Gmail
1741098691.903964,72,QUIC,142.250.75.106-192.168.160.128,0.0,Gmail
1741098691.90402,54,TCP,192.168.160.128-142.250.75.106,5.602836608886719e-05,Gmail
1741098691.904402,73,QUIC,192.168.160.128-142.250.75.106,0.0003819465637207031,Gmail
1741098691.905104,736,TLS,192.168.160.128-142.250.75.106,0.000701904296875,Gmail
1741098691.905262,60,TCP,142.250.75.106-192.168.160.128,0.00015807151794433594,Gmail
1741098691.914562,1399,QUIC,142.250.75.138-192.168.160.128,0.009299993515014648,Gmail
1741098691.918724,82,QUIC,192.168.160.128-142.250.75.138,0.0041620731353759766,Gmail
1741098691.933932,74,TCP,192.168.160.128-142.250.75.138,0.015208005905151367,Gmail
1741098691.951405,1399,QUIC,192.168.160.128-142.250.75.138,0.01747298240661621,Gmail
1741098691.95173,106,DNS,192.168.160.128-192.168.160.2,0.0003249645233154297,Other
1741098691.951907,106,DNS,192.168.160.128-192.168.160.2,0.00017690658569335938,Other
1741098691.956687,134,DNS,192.168.160.2-192.168.160.128,0.0047800540924072266,Other
1741098691.966807,1399,QUIC,142.250.75.138-192.168.160.128,0.010119915008544922,Gmail
1741098691.966807,1399,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098691.96701,84,QUIC,192.168.160.128-142.250.75.138,0.00020313262939453125,Gmail
1741098691.967763,1399,QUIC,142.250.75.138-192.168.160.128,0.0007529258728027344,Gmail
1741098691.968849,1399,QUIC,142.250.75.138-192.168.160.128,0.0010859966278076172,Gmail
1741098691.969653,1399,QUIC,142.250.75.138-192.168.160.128,0.0008039474487304688,Gmail
1741098691.969962,1399,QUIC,142.250.75.138-192.168.160.128,0.000308990478515625,Gmail
1741098691.969962,1399,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098691.970154,84,QUIC,192.168.160.128-142.250.75.138,0.00019216537475585938,Gmail
1741098691.97991,569,QUIC,142.250.75.138-192.168.160.128,0.009755849838256836,Gmail
1741098691.984616,85,QUIC,192.168.160.128-142.250.75.138,0.004706144332885742,Gmail
1741098691.986282,1294,QUIC,142.250.75.106-192.168.160.128,0.0016660690307617188,Gmail
1741098691.986282,97,QUIC,142.250.75.106-192.168.160.128,0.0,Gmail
1741098691.987844,78,QUIC,192.168.160.128-142.250.75.106,0.001561880111694336,Gmail
1741098691.995817,60,TCP,142.250.75.138-192.168.160.128,0.007972955703735352,Gmail
1741098691.995845,54,TCP,192.168.160.128-142.250.75.138,2.8133392333984375e-05,Gmail
1741098691.998849,735,TLS,192.168.160.128-142.250.75.138,0.003003835678100586,Gmail
1741098691.99909,60,TCP,142.250.75.138-192.168.160.128,0.0002410411834716797,Gmail
1741098692.004301,173,QUIC,192.168.160.128-142.250.75.138,0.0052111148834228516,Gmail
1741098692.004507,110,QUIC,192.168.160.128-142.250.75.138,0.00020599365234375,Gmail
1741098692.008676,1399,QUIC,192.168.160.128-142.250.75.138,0.004168987274169922,Gmail
1741098692.011135,1399,QUIC,192.168.160.128-142.250.75.138,0.0024590492248535156,Gmail
1741098692.011206,1399,QUIC,192.168.160.128-142.250.75.138,7.081031799316406e-05,Gmail
1741098692.012581,1399,QUIC,192.168.160.128-142.250.75.138,0.0013751983642578125,Gmail
1741098692.018104,490,QUIC,192.168.160.128-142.250.75.138,0.005522966384887695,Gmail
1741098692.023116,2854,TLS,142.250.75.106-192.168.160.128,0.005012035369873047,Gmail
1741098692.023139,54,TCP,192.168.160.128-142.250.75.106,2.288818359375e-05,Gmail
1741098692.027286,6887,TLS,142.250.75.106-192.168.160.128,0.004147052764892578,Gmail
1741098692.027313,54,TCP,192.168.160.128-142.250.75.106,2.6941299438476562e-05,Gmail
1741098692.028543,1399,QUIC,142.250.75.138-192.168.160.128,0.001230001449584961,Gmail
1741098692.033587,82,QUIC,192.168.160.128-142.250.75.138,0.005043983459472656,Gmail
1741098692.040104,118,TLS,192.168.160.128-142.250.75.106,0.006516933441162109,Gmail
1741098692.040299,60,TCP,142.250.75.106-192.168.160.128,0.00019502639770507812,Gmail
1741098692.044212,224,TLS,192.168.160.128-142.250.75.106,0.003913164138793945,Gmail
1741098692.044364,60,TCP,142.250.75.106-192.168.160.128,0.0001518726348876953,Gmail
1741098692.078298,657,QUIC,142.250.75.138-192.168.160.128,0.03393411636352539,Gmail
1741098692.078298,171,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098692.082101,1399,QUIC,142.250.75.138-192.168.160.128,0.0038030147552490234,Gmail
1741098692.082153,1399,QUIC,142.250.75.138-192.168.160.128,5.1975250244140625e-05,Gmail
1741098692.083033,73,QUIC,192.168.160.128-142.250.75.138,0.0008800029754638672,Gmail
1741098692.083162,84,QUIC,192.168.160.128-142.250.75.138,0.0001289844512939453,Gmail
1741098692.083956,370,DNS,192.168.160.2-192.168.160.128,0.0007939338684082031,Other
1741098692.089979,69,QUIC,142.250.75.106-192.168.160.128,0.006022930145263672,Gmail
1741098692.098963,68,QUIC,142.250.75.138-192.168.160.128,0.008984088897705078,Gmail
1741098692.123816,2854,TLS,142.250.75.138-192.168.160.128,0.024852991104125977,Gmail
1741098692.123838,54,TCP,192.168.160.128-142.250.75.138,2.193450927734375e-05,Gmail
1741098692.126734,2854,TCP,142.250.75.138-192.168.160.128,0.0028960704803466797,Gmail
1741098692.126787,54,TCP,192.168.160.128-142.250.75.138,5.2928924560546875e-05,Gmail
1741098692.126877,1454,TCP,142.250.75.138-192.168.160.128,9.012222290039062e-05,Gmail
1741098692.126883,54,TCP,192.168.160.128-142.250.75.138,5.9604644775390625e-06,Gmail
1741098692.134285,2685,TLS,142.250.75.138-192.168.160.128,0.007401943206787109,Gmail
1741098692.134286,68,QUIC,142.250.75.138-192.168.160.128,9.5367431640625e-07,Gmail
1741098692.13433,54,TCP,192.168.160.128-142.250.75.138,4.410743713378906e-05,Gmail
1741098692.141993,118,TLS,192.168.160.128-142.250.75.138,0.00766301155090332,Gmail
1741098692.142374,60,TCP,142.250.75.138-192.168.160.128,0.0003809928894042969,Gmail
1741098692.142375,241,TLS,192.168.160.128-142.250.75.138,9.5367431640625e-07,Gmail
1741098692.142529,60,TCP,142.250.75.138-192.168.160.128,0.00015401840209960938,Gmail
1741098692.148758,1399,QUIC,142.250.75.138-192.168.160.128,0.006228923797607422,Gmail
1741098692.148758,1399,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098692.1491,1399,QUIC,142.250.75.138-192.168.160.128,0.0003421306610107422,Gmail
1741098692.1491,1399,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098692.150134,1399,QUIC,142.250.75.138-192.168.160.128,0.0010340213775634766,Gmail
1741098692.150245,580,QUIC,142.250.75.138-192.168.160.128,0.00011086463928222656,Gmail
1741098692.152492,74,QUIC,142.250.75.138-192.168.160.128,0.0022470951080322266,Gmail
1741098692.154219,85,QUIC,192.168.160.128-142.250.75.138,0.0017268657684326172,Gmail
1741098692.161009,668,TLS,142.250.75.106-192.168.160.128,0.0067901611328125,Gmail
1741098692.164289,85,TLS,192.168.160.128-142.250.75.106,0.0032799243927001953,Gmail
1741098692.164454,173,QUIC,192.168.160.128-142.250.75.138,0.00016498565673828125,Gmail
1741098692.164489,60,TCP,142.250.75.106-192.168.160.128,3.504753112792969e-05,Gmail
1741098692.164537,107,QUIC,192.168.160.128-142.250.75.138,4.792213439941406e-05,Gmail
1741098692.165679,119,QUIC,192.168.160.128-142.250.75.138,0.0011420249938964844,Gmail
1741098692.174179,74,QUIC,192.168.160.128-142.250.75.138,0.008500099182128906,Gmail
1741098692.206706,1284,QUIC,142.250.75.138-192.168.160.128,0.03252696990966797,Gmail
1741098692.207135,78,QUIC,192.168.160.128-142.250.75.138,0.00042891502380371094,Gmail
1741098692.207692,167,QUIC,142.250.75.138-192.168.160.128,0.00055694580078125,Gmail
1741098692.208294,73,QUIC,192.168.160.128-142.250.75.138,0.0006020069122314453,Gmail
1741098692.32055,314,DATA,192.168.160.128-142.250.75.131,0.11225605010986328,Gmail
1741098692.347366,668,TLS,142.250.75.138-192.168.160.128,0.026816129684448242,Gmail
1741098692.348312,78,TLS,192.168.160.128-142.250.75.138,0.0009458065032958984,Gmail
1741098692.348422,54,TCP,192.168.160.128-142.250.75.138,0.00011014938354492188,Gmail
1741098692.348732,60,TCP,142.250.75.138-192.168.160.128,0.00030994415283203125,Gmail
1741098692.348732,60,TCP,142.250.75.138-192.168.160.128,0.0,Gmail
1741098692.348884,68,QUIC,142.250.75.138-192.168.160.128,0.00015211105346679688,Gmail
1741098692.349709,75,QUIC,192.168.160.128-142.250.75.138,0.0008249282836914062,Gmail
1741098692.36242,85,TLS,142.250.75.106-192.168.160.128,0.012711048126220703,Gmail
1741098692.364403,657,QUIC,142.250.75.138-192.168.160.128,0.0019829273223876953,Gmail
1741098692.365289,69,QUIC,142.250.75.138-192.168.160.128,0.0008859634399414062,Gmail
1741098692.365491,121,QUIC,192.168.160.128-142.250.75.138,0.00020194053649902344,Gmail
1741098692.366238,166,QUIC,142.250.75.138-192.168.160.128,0.0007472038269042969,Gmail
1741098692.366854,121,QUIC,192.168.160.128-142.250.75.138,0.0006158351898193359,Gmail
1741098692.404902,54,TCP,192.168.160.128-142.250.75.106,0.03804802894592285,Gmail
1741098692.418384,73,QUIC,142.250.75.138-192.168.160.128,0.013482093811035156,Gmail
1741098692.418384,1395,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098692.418384,473,QUIC,142.250.75.138-192.168.160.128,0.0,Gmail
1741098692.418949,80,QUIC,192.168.160.128-142.250.75.138,0.0005648136138916016,Gmail
1741098692.476713,85,TLS,142.250.75.138-192.168.160.128,0.05776405334472656,Gmail
1741098692.476737,54,TCP,192.168.160.128-142.250.75.138,2.4080276489257812e-05,Gmail
1741098692.483786,73,DATA,142.250.75.131-192.168.160.128,0.007049083709716797,Gmail
1741098692.48395,73,DATA,192.168.160.128-142.250.75.131,0.00016379356384277344,Gmail
1741098692.486184,84,QUIC,142.250.75.138-192.168.160.128,0.0022339820861816406,Gmail
1741098692.486281,121,QUIC,192.168.160.128-142.250.75.138,9.703636169433594e-05,Gmail
1741098692.491541,84,QUIC,142.250.75.138-192.168.160.128,0.005259990692138672,Gmail
1741098692.491673,121,QUIC,192.168.160.128-142.250.75.138,0.00013208389282226562,Gmail
1741098692.515152,160,DATA,142.250.75.131-192.168.160.128,0.023478984832763672,Gmail
1741098692.515152,67,DATA,142.250.75.131-192.168.160.128,0.0,Gmail
1741098692.515592,78,DATA,192.168.160.128-142.250.75.131,0.0004401206970214844,Gmail
1741098692.53793,69,QUIC,142.250.75.138-192.168.160.128,0.022337913513183594,Gmail
1741098692.551156,84,QUIC,142.250.75.138-192.168.160.128,0.013226032257080078,Gmail
1741098692.551541,121,QUIC,192.168.160.128-142.250.75.138,0.00038504600524902344,Gmail
1741098692.571513,660,TLS,192.168.160.128-62.0.96.195,0.019971847534179688,Other
1741098692.571887,60,TCP,62.0.96.195-192.168.160.128,0.00037407875061035156,Other
1741098692.581171,69,DATA,142.250.75.131-192.168.160.128,0.009284019470214844,Gmail
1741098692.626518,653,TLS,62.0.96.195-192.168.160.128,0.045346975326538086,Other
1741098692.626548,54,TCP,192.168.160.128-62.0.96.195,3.0040740966796875e-05,Other
